,ID,hostRa,hostDec,offby,hectoZ,redshift_dif,KronRad (kpc)_3,separation (kpc)_3,area (kpc^2)_3,sep/sqrt(area) (kpc)_3,x_3,y_3,KronMag_3,Abs. Mag_3,Angle_3,Ellipticity_3,RA_3,DEC_3,Discrepency (arcsecs)_3,pixelRank_3,chanceCoincidence_3,host_found_3,KronRad (kpc)_4,separation (kpc)_4,area (kpc^2)_4,sep/sqrt(area) (kpc)_4,x_4,y_4,KronMag_4,Abs. Mag_4,Angle_4,Ellipticity_4,RA_4,DEC_4,Discrepency (arcsecs)_4,pixelRank_4,chanceCoincidence_4,host_found_4,KronRad (kpc)_5,separation (kpc)_5,area (kpc^2)_5,sep/sqrt(area) (kpc)_5,x_5,y_5,KronMag_5,Abs. Mag_5,Angle_5,Ellipticity_5,RA_5,DEC_5,Discrepency (arcsecs)_5,pixelRank_5,chanceCoincidence_5,host_found_5,KronRad (kpc)_6,separation (kpc)_6,area (kpc^2)_6,sep/sqrt(area) (kpc)_6,x_6,y_6,KronMag_6,Abs. Mag_6,Angle_6,Ellipticity_6,RA_6,DEC_6,Discrepency (arcsecs)_6,pixelRank_6,chanceCoincidence_6,host_found_6
0,6,0.0,0.0,,0,-1,1.63453802657,0.85491151507,111.886894559,0.0808223654155,0.28360453036297884,-0.8542344764578047,19.361260329534264,-20.7859652346,-1.3084121942520142,0.29429968905609993,53.3664277644127,-28.371581581035528,-28.371581581035528,0.9838709677419355,0.002137462402478918,1,1.6436796249,0.930079130584,171.439596502,0.0710336828146,0.2934703620606314,-0.9342117772344096,18.142441571255333,-22.0047839928,-1.2968113422393799,0.2909853275903228,53.36642699949887,-28.371587135915906,-28.371587135915906,0.9947368421052631,0.0008269754415063391,1,1.50769560262,0.997831893006,238.210807771,0.0646512088848,0.31677500170712847,-1.001658269218055,18.452636369728847,-21.6945891944,-1.2633311748504639,0.2947237762450614,53.36642517186196,-28.37159182275923,-28.37159182275923,0.9962121212121212,0.0009792260324458235,1,1.64948804646,1.08587013952,184.974301489,0.0798403059627,0.33883431914101436,-1.091879600467749,18.067499408547125,-22.0797261555,-1.2473722696304321,0.2970515859634598,53.366423446402536,-28.371598090823042,-28.371598090823042,0.9951219512195122,0.00072893717212974,1
1,10,0.0,0.0,,0,-1,13.92002230721785,8.60437126362,668.56572828,0.332772236904,-8.649964916558503,0.6260706038012245,13.92002230721785,-26.596235998,-0.009789050556719303,0.3364417399988421,149.74959733585462,3.1575741648777718,3.1575741648777718,0.8159057437407953,0.0033820281314211886,0,4.38975303321,8.60437126362,668.56572828,0.332772236904,-8.649964916558503,0.6260706038012245,10.7194044440156,-29.5591921374,-0.009789050556719303,0.3364417399988421,149.74959733585462,3.1575741648777718,3.1575741648777718,0.8159057437407953,0.00029760767239084274,1,4.56951952085,8.43570620542,808.383597817,0.296696688724,-8.485103994619578,0.5450783473057186,12.408074010020739,-27.8705225714,-0.0325285829603672,0.2951071855469778,149.74958587253667,3.1575685392842696,3.1575685392842696,0.8112058465286236,0.0011259919628717752,1,4.20045373333,8.56676497306,676.442791352,0.32938310243,-8.623337723464388,0.4427831342528208,11.508972629225598,-28.7696239522,0.015257940627634525,0.3712081184630538,149.74959548636468,3.1575614398122838,3.1575614398122838,0.7321688500727802,0.0005535879560654156,1
2,11,0.0,0.0,,0,-1,13.02757892381159,26.6044314222,251.787384729,1.67662909515,-2.673792413523813,-19.65740530267861,13.02757892381159,-28.5909023382,0.16802899539470673,0.09247115088792335,149.97610253191002,2.4105349243184357,2.4105349243184357,0.0,0.00010915608557815482,0,3.3536617533,26.0602547102,124.095211045,2.33938200637,-3.342159155524783,-19.143072238463006,19.662560325556473,-21.6062232205,-0.42832067608833313,0.35334436637367894,149.97614898648308,2.4105706422211886,2.4105706422211886,0.0,0.01649495089027675,1,3.15966293897,26.5665334349,260.779791326,1.64512128703,-2.973996049998121,-19.585648592508704,19.29396245724945,-21.9748210888,0.05551692098379135,0.1152720436484328,149.976123397625,2.410539907721271,2.410539907721271,0.0,0.01299748163436687,1,3.04014220219,26.6044314222,251.787384729,1.67662909515,-2.673792413523813,-19.65740530267861,18.89415158120638,-22.3746319648,0.16802899539470673,0.09247115088792335,149.97610253191002,2.4105349243184357,2.4105349243184357,0.0,0.00937555014801461,1
3,34,0.0,0.0,,0,-1,13.012431921624787,4.11388233893,18.292500331,0.96186767642,0.12448310073543212,-4.080396113985728,13.012431921624787,-27.5565951945,0.8162770867347717,0.5854744902793338,36.066428913797715,-3.18681937440036,-3.18681937440036,0.0,1.2872126630036895e-05,0,2.69635295207,4.11388233893,18.292500331,0.96186767642,0.12448310073543212,-4.080396113985728,20.914309686447655,-19.4124423972,0.8162770867347717,0.5854744902793338,36.066428913797715,-3.18681937440036,-3.18681937440036,0.0,0.005201645873912697,1,2.51608016052,3.99835158912,23.3737504229,0.827021460489,0.14478810646673423,-3.9650093701855553,21.60662415731754,-18.7201279263,0.8579429984092712,0.445452967965429,36.06642749981604,-3.1868113644971943,-3.1868113644971943,0.0,0.007873294041458645,1,12.831746928241126,4.11388233893,18.292500331,0.96186767642,0.12448310073543212,-4.080396113985728,12.831746928241126,-27.7372801879,0.8162770867347717,0.5854744902793338,36.066428913797715,-3.18681937440036,-3.18681937440036,0.0,1.1220820481105953e-05,0
