number,bal_score,diag,KronRad (kpc),separation (kpc),area (kpc^2),sep/area (kpc),x,y,KronMag,Abs. Mag,Angle,Ellipticity,RA,Host RA,DEC,Host Dec,Discrepency (arcsecs),Z,SDSS Photoz,pixelRank,chance coincidence
102,0.41,6,,x,x,,,,,,,,,,,,,x,,x,
103,0.35,5,x,x,x,,,,,,,,,,,,,x,,x,
104,0.42,7,,,,,,,,x,,,,,,,,x,,x,
105,0.35,5,x,,,,,,,x,,,,,,,,x,,x,
106,0.38,6,,x,,,,,,x,,,,,,,,x,,x,
107,0.32,5,x,x,,,,,,x,,,,,,,,x,,x,
108,0.37,6,,,x,,,,,x,,,,,,,,x,,x,
109,0.35,5,x,,x,,,,,x,,,,,,,,x,,x,
110,0.40,5,,x,x,,,,,x,,,,,,,,x,,x,
111,0.32,5,x,x,x,,,,,x,,,,,,,,x,,x,
112,0.43,7,,,,,,,,,,x,,,,,,x,,x,
113,0.37,6,x,,,,,,,,,x,,,,,,x,,x,
114,0.39,6,,x,,,,,,,,x,,,,,,x,,x,
115,0.34,6,x,x,,,,,,,,x,,,,,,x,,x,
116,0.42,7,,,x,,,,,,,x,,,,,,x,,x,
117,0.34,4,x,,x,,,,,,,x,,,,,,x,,x,
118,0.39,6,,x,x,,,,,,,x,,,,,,x,,x,
119,0.34,6,x,x,x,,,,,,,x,,,,,,x,,x,
120,0.42,7,,,,,,,,x,,x,,,,,,x,,x,
121,0.34,5,x,,,,,,,x,,x,,,,,,x,,x,
122,0.41,6,,x,,,,,,x,,x,,,,,,x,,x,
123,0.34,6,x,x,,,,,,x,,x,,,,,,x,,x,
124,0.39,4,,,x,,,,,x,,x,,,,,,x,,x,
125,0.35,5,x,,x,,,,,x,,x,,,,,,x,,x,
126,0.39,6,,x,x,,,,,x,,x,,,,,,x,,x,
127,0.32,5,x,x,x,,,,,x,,x,,,,,,x,,x,
128,0.23,3,,,,,,,,,,,,,,,,,,,x
129,0.32,5,x,,,,,,,,,,,,,,,,,,x
130,0.13,0,,x,,,,,,,,,,,,,,,,,x
131,0.32,4,x,x,,,,,,,,,,,,,,,,,x
132,0.27,3,,,x,,,,,,,,,,,,,,,,x
133,0.32,5,x,,x,,,,,,,,,,,,,,,,x
134,0.26,4,,x,x,,,,,,,,,,,,,,,,x
135,0.32,5,x,x,x,,,,,,,,,,,,,,,,x
136,0.29,4,,,,,,,,x,,,,,,,,,,,x
137,0.22,2,x,,,,,,,x,,,,,,,,,,,x
138,0.26,3,,x,,,,,,x,,,,,,,,,,,x
139,0.30,4,x,x,,,,,,x,,,,,,,,,,,x
140,0.27,4,,,x,,,,,x,,,,,,,,,,,x
141,0.32,4,x,,x,,,,,x,,,,,,,,,,,x
142,0.27,4,,x,x,,,,,x,,,,,,,,,,,x
143,0.30,4,x,x,x,,,,,x,,,,,,,,,,,x
144,0.24,5,,,,,,,,,,x,,,,,,,,,x
145,0.33,6,x,,,,,,,,,x,,,,,,,,,x
146,0.25,4,,x,,,,,,,,x,,,,,,,,,x
147,0.31,6,x,x,,,,,,,,x,,,,,,,,,x
148,0.23,1,,,x,,,,,,,x,,,,,,,,,x
149,0.29,4,x,,x,,,,,,,x,,,,,,,,,x
150,0.25,4,,x,x,,,,,,,x,,,,,,,,,x
151,0.28,1,x,x,x,,,,,,,x,,,,,,,,,x
152,0.21,3,,,,,,,,x,,x,,,,,,,,,x
153,0.29,5,x,,,,,,,x,,x,,,,,,,,,x
154,0.23,1,,x,,,,,,x,,x,,,,,,,,,x
155,0.30,5,x,x,,,,,,x,,x,,,,,,,,,x
