ID,KronRad (kpc)_3,separation (kpc)_3,area (kpc^2)_3,sep/area (kpc)_3,x_3,y_3,KronMag_3,Abs. Mag_3,Angle_3,Ellipticity_3,RA_3,Host RA_3,DEC_3,Host Dec_3,Discrepency (arcsecs)_3,Z_3,SDSS Photoz_3,pixelRank_3,chance coincidence_3,KronRad (kpc)_4,separation (kpc)_4,area (kpc^2)_4,sep/area (kpc)_4,x_4,y_4,KronMag_4,Abs. Mag_4,Angle_4,Ellipticity_4,RA_4,Host RA_4,DEC_4,Host Dec_4,Discrepency (arcsecs)_4,Z_4,SDSS Photoz_4,pixelRank_4,chance coincidence_4,KronRad (kpc)_5,separation (kpc)_5,area (kpc^2)_5,sep/area (kpc)_5,x_5,y_5,KronMag_5,Abs. Mag_5,Angle_5,Ellipticity_5,RA_5,Host RA_5,DEC_5,Host Dec_5,Discrepency (arcsecs)_5,Z_5,SDSS Photoz_5,pixelRank_5,chance coincidence_5,KronRad (kpc)_6,separation (kpc)_6,area (kpc^2)_6,sep/area (kpc)_6,x_6,y_6,KronMag_6,Abs. Mag_6,Angle_6,Ellipticity_6,RA_6,Host RA_6,DEC_6,Host Dec_6,Discrepency (arcsecs)_6,Z_6,SDSS Photoz_6,pixelRank_6,chance coincidence_6
590002,1.381081675,20.33279998,619.1527814,0.032839714,-22.92538925,-6.757998999,19.52659574,-20.49722157,-1.111168504,0.20544307,149.5464502,0,0.877836708,0,,0.2,0.185741,0.077102804,0.022094696,1.701608677,20.32507309,1083.336329,0.018761554,-22.9736701,-6.559016519,18.6102669,-21.41355042,-1.054306388,0.219347336,149.5464535,0,0.877850519,0,,0.2,0.185741,0.078824315,0.01124899,1.988144546,20.31186248,1332.445752,0.015244045,-22.95023761,-6.584450618,17.46721696,-22.55660035,-1.031121612,0.222247928,149.5464519,0,0.877848753,0,,0.2,0.185741,0.185225421,0.005530925,1.749877642,20.26118576,1123.889025,0.018027746,-22.89650908,-6.555705285,17.77885924,-22.24495808,-1.009108067,0.198035095,149.5464482,0,0.877850748,0,,0.2,0.185741,0.127495171,0.005850505
370394,2.544342486,2.192313426,17.15995895,0.127757498,-1.750151994,0.146583466,24.43406183,-16.90222062,0.487751573,0.659813079,132.3795096,0,45.00217694,0,,0.34,,0.166666667,0.034249077,2.459196701,1.492531372,53.0398731,0.028139799,-0.852970539,0.837959419,23.21155376,-18.12472869,-1.089102149,0.344982749,132.379423,0,45.00222629,0,,0.34,,0.2,0.019616213,1.98236007,2.33621063,59.27985817,0.039409855,-0.838749555,1.67298723,23.0574861,-18.27879635,1.28219986,0.094377955,132.3794234,0,45.00228427,0,,0.34,,0.435897436,0.011905177,3.078922321,2.225290309,53.0398731,0.041955046,-0.856608675,1.5633278,22.72351425,-18.6127682,-1.533010483,0.185773745,132.3794249,0,45.00227663,0,,0.34,,0.514285714,0.013065757
20090,2.302580946,11.75474252,1300.629833,0.009037731,6.292727333,-5.534317297,20.29541408,-21.51100205,1.158446074,0.408121798,212.8786817,212.8793917,53.57918995,53.57957222,2.048492265,0.409,0.266269,0.418429003,0.021249827,1.968135616,11.65817192,1680.390132,0.006937777,6.144541019,-5.596653912,19.1176884,-22.68872773,1.145230055,0.382291849,212.8786991,212.8793917,53.57918571,53.57957222,2.031551656,0.409,0.266269,0.414035088,0.007376116,1.981223113,11.39628179,1914.542855,0.005952482,5.930737192,-5.552979823,18.5852824,-23.22113373,1.153473616,0.3878145,212.8787241,212.8793917,53.57918886,53.57957222,1.98510168,0.409,0.266269,0.545174538,0.004365201,1.894799017,11.32138319,1747.29091,0.006479392,6.198866916,-5.168995341,18.30013153,-23.5062846,1.09627676,0.413516812,212.8786924,212.8793917,53.57921537,53.57957222,1.970878625,0.409,0.266269,0.429696288,0.003292998
510578,2.610004325,5.043558184,79.13317806,0.063735064,3.326830405,-1.758239706,23.37181208,-18.24666919,0.465689659,0.401984996,241.2322085,0,53.91199792,0,,0.38,,0.666666667,0.037252868,2.219341296,5.36365874,156.4678748,0.034279616,3.56692141,-1.81397564,22.38501041,-19.23347085,0.318777859,0.425748865,241.2321803,0,53.91199369,0,,0.38,,0.113636364,0.018471654,1.980773966,5.025126525,174.452688,0.028805097,3.198226345,-1.956416082,22.23095266,-19.3875286,0.439540118,0.468803499,241.2322241,0,53.91198436,0,,0.38,,0.418367347,0.015371656,2.71385747,4.629998808,134.886099,0.034325248,3.031802285,-1.655476637,21.92900916,-19.6894721,0.322297335,0.53710776,241.232243,0,53.9120055,0,,0.38,,0.565789474,0.012859171
340169,2.591172561,39.89223488,222.8677637,0.178995088,28.6718414,-5.941292555,22.12530352,-19.55943508,0.491909266,0.177472097,131.3599119,131.3599,43.06693089,43.06699722,0.240837223,0.39,0.435248,0,0.185571294,2.006660846,39.82989335,352.8739592,0.112872861,28.66177092,-5.761939716,20.83933285,-20.84540575,0.628306687,0.159123025,131.359913,131.3599,43.06694333,43.06699722,0.197005682,0.39,0.435248,0.020942408,0.073190183,1.958654108,39.71976274,455.0216843,0.087292022,28.57455712,-5.785453958,20.36634405,-21.31839454,0.573110342,0.147562572,131.3599213,131.3599,43.06694165,43.06699722,0.20777243,0.39,0.435248,0.024390244,0.051228897,,,,,,,,,,,,,,,,,,,
520071,1.747227654,10.1959445,728.34482,0.013998788,4.024717394,6.029483724,21.01869422,-20.80022453,-1.352307081,0.216795196,215.5035369,0,53.61975425,0,,0.411,0.37281,0.420054201,0.021121906,1.89600873,10.56899768,955.9525762,0.011055985,4.145332636,6.267790149,19.98586719,-21.83305156,-1.381744146,0.113720311,215.5035236,0,53.61977103,0,,0.411,0.37281,0.561983471,0.009669739,1.958147965,10.64436541,1078.662845,0.009868112,4.19502679,6.299127524,19.59500641,-22.22391234,-1.31993866,0.102429803,215.5035179,0,53.61977331,0,,0.411,0.37281,0.628205128,0.007001274,1.985201139,10.46943697,888.6598483,0.011781152,4.098555741,6.213849583,19.40044038,-22.41847837,-1.28992331,0.126909484,215.5035289,0,53.61976719,0,,0.411,0.37281,0.466666667,0.005886577
50251,2.47241101,4.131494165,377.1280585,0.010955149,2.283841755,-2.016691526,21.37005272,-20.29497492,1.540734887,0.075172832,214.3270941,0,53.97818139,0,,0.387,0.381493,0.660194175,0.010235391,2.10606416,3.924332933,849.9178685,0.004617308,1.74671908,-2.307481166,19.73719162,-21.92783603,0.03583793,0.044627278,214.3271571,0,53.97816074,0,,0.387,0.381493,0.859611231,0.002829747,1.956513095,3.975351458,1307.990486,0.003039282,1.765570591,-2.340394305,19.09691925,-22.56810839,-0.070445083,0.106772912,214.3271549,0,53.97815847,0,,0.387,0.381493,0.91011236,0.001635621,2.032037128,3.980040518,1022.844881,0.003891148,1.890036333,-2.245600219,18.78629241,-22.87873524,0.287917644,0.128390025,214.3271403,0,53.97816516,0,,0.387,0.381493,0.888689408,0.001252324
420248,2.237375212,2.079902571,94.0480673,0.022115314,-0.75889555,-1.539009752,22.73569388,-18.48681523,-1.385573983,0.019091347,35.97764448,35.977575,-3.613426301,-3.613352778,0.363839047,0.325,0.239059,0.892307692,0.010939383,,,,,,,,,,,,,,,,,,,,1.956337392,1.91220308,116.0905831,0.016471647,-0.735857502,-1.395458285,21.65210111,-19.570408,-1.294321299,0.034506479,35.97764288,35.977575,-3.613416333,-3.613352778,0.334405015,0.325,0.239059,0.9125,0.003644322,1.624546744,2.066666484,101.3955726,0.020382216,-0.765444389,-1.523551416,21.35819436,-19.86431474,0.192051247,0.108919762,35.97764494,35.977575,-3.613425227,-3.613352778,0.362171189,0.325,0.239059,0.885714286,0.002351594
160197,2.498068123,12.37716926,228.4606111,0.054176382,-0.421184934,-9.544253542,21.81773644,-19.66325928,0.759718001,0.170476527,241.6174934,0,53.87114362,0,,0.36,0.448945,0.01459854,0.028276519,2.157680357,12.74366438,364.5290634,0.034959255,-0.59920403,-9.818121568,20.83164937,-20.64934635,0.924734652,0.162472563,241.6175149,0,53.87112481,0,,0.36,0.448945,0.041284404,0.013647662,1.942051683,12.66932177,404.8456418,0.031294203,-0.701933321,-9.753756839,20.53197322,-20.9490225,0.897104025,0.168352067,241.6175268,0,53.8711294,0,,0.36,0.448945,0.08677686,0.010396899,1.979264771,12.60338213,320.8527701,0.039280889,-0.6269672,-9.707877521,20.1716144,-21.30938131,0.97428149,0.127614029,241.6175179,0,53.87113249,0,,0.36,0.448945,0,0.00763443
151425,2.547013166,12.67125607,545.9609009,0.023209091,-1.188709481,-10.32240392,20.31534406,-20.93030095,1.331997514,0.200570515,243.9654587,0,54.4424931,0,,0.328,0.359553,0.413043478,0.014416933,2.566100581,12.39412333,633.731182,0.019557383,-0.863936756,-10.12655128,19.46237312,-21.7832719,1.259445071,0.202604975,243.9654203,0,54.44250708,0,,0.328,0.359553,0.494145199,0.007706308,1.93444612,17.13593172,333.2295417,0.051423807,13.211297,4.788784421,19.84003,-21.40561501,-0.683806896,0.079764029,243.9637699,0,54.44355891,0,,0.328,,0.688888889,0.008546841,1.799126114,17.23845951,351.0811243,0.049101072,13.30565682,4.774969231,19.01721,-22.22843501,-0.875495374,0.094916603,243.9637586,0,54.44355806,0,,0.328,,0.679324895,0.004601369
