ra dec type modelMag_g modelMag_r modelMag_i modelMag_z z zErr idnum
160.687390741893 58.8366679903606 3 23.4644 21.57919 21.34553 21.53143 0.397608 0.092222 010026
129.057673513432 44.0049456776647 3 24.91992 23.7568 22.05494 20.85464 -9999.0 -9999.0 010043
129.050126650985 44.0141815832954 3 22.96297 23.26844 22.58265 21.85456 0.830555 0.24756 010043
129.043011888823 44.0061057230247 3 20.84805 19.82179 19.40222 19.048 0.270465 0.081091 010043
129.045019900907 44.0051851365364 3 22.84609 22.02162 21.86519 22.74086 0.784815 0.0884 010043
129.063187678762 44.008988589919 3 23.93622 23.39732 21.6069 21.29221 0.295241 0.083396 010043
129.055696756658 44.0144414611814 3 23.24213 22.32053 21.66632 21.6455 0.57614 0.107526 010043
150.546659782968 1.23013839867767 6 25.99125 25.94818 23.90812 20.18888 nan nan 010163
150.54661941244 1.24073319393933 3 18.73688 18.00085 17.53955 17.34356 0.151699 0.029164 010163
150.542205797458 1.23040438242412 6 17.59535 17.25194 17.10996 17.13168 nan nan 010163
150.544124701837 1.22746334663469 6 23.76868 22.8674 23.49025 23.58347 nan nan 010163
150.540864247292 1.23759282032124 3 23.26556 21.75869 20.99797 20.3735 0.464618 0.051852 010163
150.539991346988 1.23168435030207 6 24.04132 22.45139 23.86134 21.83453 nan nan 010163
150.53986220985 1.22761404460305 3 15.39968 12.9848 12.86739 13.04863 -9999.0 -9999.0 010163
150.532591540224 1.22560897148105 3 25.27455 22.38534 22.63596 22.26334 0.303947 0.079863 010163
150.535069455128 1.22766087529492 3 25.23193 22.81911 23.58237 22.29258 0.397043 0.077029 010163
150.537535055061 1.23939395115152 3 20.86087 20.19001 19.86808 19.44672 0.263757 0.079954 010163
162.079248001666 57.4058911191042 6 23.87451 23.1329 21.56304 20.46776 nan nan 010411
162.075943928714 57.4066199853365 6 20.35752 20.32286 20.21209 19.91824 nan nan 010411
162.074037295614 57.4027773099425 3 17.38493 16.876 16.52962 16.36665 0.082818 0.016734 010411
162.075449457148 57.4006371610198 6 24.50744 23.7047 24.08466 21.42075 nan nan 010411
162.065783301481 57.4052592462275 3 18.56735 18.32476 18.07667 18.08885 0.078577 0.020404 010411
162.075854927851 57.3991745594403 3 24.55324 22.60547 21.74125 22.12943 0.490998 0.109688 010411
162.071926616345 57.3997593980912 3 23.22274 22.35548 21.90756 22.26157 0.508741 0.159199 010411
162.074433161891 57.4048174976044 6 23.92209 24.02684 23.81924 21.00924 nan nan 010411
162.062634129842 57.4096509234251 6 22.98619 21.81837 20.64604 20.04029 nan nan 010411
162.074350120911 57.4087174153567 3 21.92782 20.90047 20.54768 20.31532 0.446743 0.069543 010411
162.062642051655 57.3975413481345 3 23.07944 22.96563 21.72043 22.23674 0.383817 0.140198 010411
164.422060793636 57.613456597658 3 17.69217 17.16155 16.78297 16.63512 0.083973 0.015982 010454
164.415722832798 57.6085655095352 6 25.36229 25.28765 24.82802 20.71445 nan nan 010454
164.431416337223 57.6082818959129 6 25.84784 24.87811 22.1548 22.46247 nan nan 010454
164.436285634996 57.6124133409499 3 22.94283 21.9035 21.62587 21.0498 0.505495 0.090166 010454
131.715982508106 45.4854706406895 6 24.94201 25.55762 21.76675 22.82174 nan nan 020021
131.706136279911 45.4909160916335 6 20.1786 19.60863 19.40449 19.30522 nan nan 020021
131.720012529656 45.4899242959747 3 21.39206 20.42077 20.06874 19.82046 0.37542 0.089504 020021
131.706247756969 45.4864490450835 6 21.65651 20.17624 19.01326 18.38598 nan nan 020021
131.70845268182 45.4870300523627 6 25.50582 24.01936 21.99632 21.36473 nan nan 020021
131.718122352714 45.4972737864441 6 24.23285 22.50039 23.56881 22.63105 nan nan 020021
131.701570280057 45.48625573147 3 23.46338 21.63535 21.85106 22.72554 -9999.0 -9999.0 020021
131.71904727173 45.4946416212322 3 20.43907 18.80862 18.19023 17.82086 0.3166 0.017925 020021
131.716576631714 45.4947562291943 6 25.75201 25.05052 24.25177 20.82104 nan nan 020021
131.711305001176 45.4923616382871 3 20.92768 19.95631 19.68118 19.40632 0.313432 0.065466 020021
131.716718548527 45.4840064779423 6 24.50867 23.05255 21.76554 20.87443 nan nan 020021
131.714326662508 45.491288009009 3 21.89305 20.16098 19.59008 19.28909 0.367315 0.041814 020021
131.709398087933 45.4930685630928 6 22.36564 20.90339 19.53178 18.93616 nan nan 020021
131.714732887188 45.4939825268644 6 24.66443 23.97392 21.10924 20.20866 nan nan 020021
186.337729993634 46.0148062032009 3 20.39072 20.14853 19.92221 19.87774 0.061133 0.041148 020027
186.340875108825 46.017629606795 3 24.35094 23.03647 22.72506 23.10945 0.384308 0.151475 020027
186.336541621383 46.0185205217841 6 24.10371 22.81256 22.09662 22.09911 nan nan 020027
186.335738890389 46.0099973373724 6 23.68831 23.47094 24.36185 21.45452 nan nan 020027
186.333036906063 46.0095045326654 3 16.07637 15.31849 14.93686 14.65038 0.036749 0.013489 020027
186.330981654422 46.0109396537877 6 23.67682 23.53095 23.4572 21.38224 nan nan 020027
186.330855527079 46.0127884456126 3 22.94547 22.61942 21.9815 21.35507 0.572171 0.192075 020027
186.336233219804 46.0206180916752 6 24.51986 22.97449 25.43334 23.40175 nan nan 020027
186.335009686888 46.0164490018745 3 17.67147 17.04463 16.68662 16.53536 0.07999 0.018679 020027
186.325224111969 46.0132348089482 6 24.74832 23.34629 22.28448 21.67919 nan nan 020027
186.324512473846 46.0207738609797 3 25.6424 24.77736 24.13074 20.63266 -9999.0 -9999.0 020027
214.725358779788 54.0013934300561 3 21.87868 21.43595 21.33617 21.23444 0.257906 0.091456 020075
214.728723914328 53.9991798088309 6 22.68242 21.84269 21.94974 23.39638 nan nan 020075
214.729358250824 53.9961939167735 3 23.2559 23.06214 21.91492 22.34908 0.444163 0.149681 020075
214.727285553549 53.998895731439 6 23.63593 21.7611 20.3035 19.68441 nan nan 020075
214.721390502947 54.0057501135147 3 22.52027 21.38103 20.81631 20.68362 0.504366 0.108601 020075
214.716541921944 54.004741755424 6 23.35832 21.57699 21.04521 20.45241 nan nan 020075
214.731599559848 53.9971545695046 3 24.35668 21.61094 20.76879 21.04163 0.303348 0.090658 020075
214.725710762906 53.9981395632102 3 20.62337 19.89806 19.57156 19.53381 0.23407 0.041053 020075
214.727789306227 53.9966495092098 3 19.42896 18.88444 18.58382 18.41185 0.139961 0.031644 020075
214.719638603934 54.0027212558157 6 25.35527 25.80076 24.99228 20.61121 nan nan 020075
214.721250260855 53.9963026638509 6 24.00342 22.68528 20.72468 19.78823 nan nan 020075
214.74220384869 53.9916184237167 6 24.07331 22.65931 22.40088 21.64736 nan nan 020075
131.439470376706 44.9726040112307 3 20.70232 20.17408 19.9501 19.65368 0.141781 0.070157 020082
131.443068496133 44.9701610204093 3 22.61304 22.00698 21.92046 21.73404 0.311096 0.105885 020082
212.870907371174 53.5862024912718 6 24.54743 25.05042 24.78403 22.77487 nan nan 020090
212.891337421209 53.5783736318433 3 22.52992 20.51593 19.8625 19.38741 0.407487 0.040793 020090
212.891892733069 53.5808927264702 6 25.41612 24.02031 25.12078 21.84537 nan nan 020090
212.885613376209 53.5846619529995 3 22.29693 20.70554 19.87578 19.35617 0.478751 0.033971 020090
212.879585310491 53.57600891897 3 23.40927 21.8706 21.53489 21.05596 0.408236 0.080504 020090
212.868085075591 53.5811379968736 6 22.34406 21.89581 22.10152 21.71222 nan nan 020090
212.87866624148 53.5792039341238 3 20.67072 19.22918 18.72545 18.36851 0.266269 0.030135 020090
212.884736274071 53.5802413808862 3 23.02123 21.79216 21.4136 21.24972 0.408909 0.113938 020090
