"Name","R.A.","Dec.","z","Type","Phot.","Spec."
"PTF10bhu","12:55:28.44","+53:34:28.7","0.036","Ic","",""
"PTF10bip","12:34:10.52","+08:21:48.5","0.051","Ic","",""
"PTF10gvb","12:15:32.278","+40:18:09.48","0.098","Ic","","3"
"PTF10osn","23:23:07.982","+17:30:29.23","0.038","Ic","","1"
"PTF11mnb","","","0.0603","Ic","","5"
"PTF14dby","15:17:06.29","+25:21:11.4","","Ic BL","",""
"SN2010ma","00:48:55.35,00:48:55.351,00:49:02.16","-34:33:59.5,-34:33:59.51,-34:33:21.6","0.55185","Ic BL","","7"
"SN2013dx","14:29:14.78,14:29:14.779","+15:46:26.4,+15:46:26.40","0.145,0.145,0.145","Ic BL","","16"
"SN2013ez","02:53:56.70,02:54:00.7,02:54:00.701,02:54:00.70,02:53:56.64","+13:23:13.6,+13:23:43.7,+13:23:43.69,+13:23:13.2","0.597,0.597","Ic BL","","1"
"SN2014ft","23:33:27.953,23:33:27.950","+33:38:46.14","0.063,0.063,0.063","Ic","",""
"PS15ckn","10:13:29.31","-10:00:06.1","0.08","Ic","",""
"SMT J13254308-2932269","13:25:43.07","-29:32:26.9","0.04","Ic","","1"
"SN2018fip","16:54:15.750","-54:02:39.27","0.117,0.117","Ic BL","",""
