"Name","R.A.","Dec.","z","Type","Phot.","Spec."
"SNhunt151","04:47:30.0","+23:58:56","","LBV to IIn","372",""
"SN2013ai","06:16:18.35,06:16:18.350","-21:22:32.9,-21:22:32.92","0.009","II","348","22"
"SN2013bu","22:37:02.17,22:37:02.170","+34:24:05.2,+34:24:05.18","0.002722","II","345","1"
"SN2008in","12:22:01.77,12:22:01.771","+04:28:47.5,+04:28:47.50","0.005224","II P","343","38"
"SN2005kd","04:03:16.88,04:03:16.879","+71:43:18.9,+71:43:18.91","0.01504","II","342",""
"SN2003gd","01:36:42.65,01:36:42.648,01:36:42.650","+15:44:19.9,+15:44:20.04,+15:44:20.90","0.002192","II P","321","8"
"SN2014cy","23:44:16.03,23:44:16.030","+10:46:12.5,+10:46:12.50","0.005547","II P","321","1"
"SN2012ec","02:45:59.89,02:45:59.87,02:45:59.880","-07:34:25.0,-07:34:24.1,-07:34:27.01","0.004693","II P","317","74"
"SN2014dw","11:10:48.41,11:10:48.410","-37:27:02.2,-37:27:02.20","0.008152","II","315",""
"SN1999br","13:00:41.80,13:00:41.76,13:00:41.82,13:00:41.801","+02:29:45.8,+02:29:45.96,+02:29:45.816,+02:29:45.4,+02:29:45.82","0.003201,0.003406","II P","313","17"
"SN2018zd","06:18:03.190,06:18:03.180,06:18:03.192","+78:22:01.16,+78:22:00.90,+78:22:01.2","0.002979,0.002979","II","309","1"
"PS15blq","17:31:42.37,17:31:42.40,17:31:42.48","+43:53:34.1,+43:53:33.9,+43:53:33.72","0.125","IIn","301",""
"SN2007od","23:55:48.68,23:55:48.679","+18:24:54.8,+18:24:54.79","0.00586,0.00622,0.00715,0.00586","II P","296","42"
"SN2012P","14:59:59.12,14:59:59.119,14:59:59.04","+01:53:24.4,+01:53:24.40,+01:53:25.1","0.004533,0.004479","Ib/c","284","1"
"SN2006qq","05:19:50.30,05:19:50.43,05:19:50.429","-20:58:06.4,-20:58:06.38","0.029,0.029","IIn","280","13"
"SN2015W","06:57:43.03,06:57:43.030","+13:34:45.7,+13:34:45.70","0.013","II","280","1"
"SN2007ld","20:49:29.59,20:49:29.6,20:49:29.52,20:49:29.590","+00:00:14.0,+00:00:14,+00:00:13.8,+00:00:14.00","0.025,0.027","II","276","9"
"SN1999cr","13:20:18.34,13:20:18.24,13:20:18.30,13:20:18.300","-20:08:52.0,-20:08:50.64,-20:08:50.5,-20:08:50.50","0.02023,0.02126","II P","270","5"
"SN2010id","23:05:48.88,23:05:48.879,23:05:49.04,23:05:49.039","+03:31:25.5,+03:31:25.54,+03:31:20.6,+03:31:20.60","0.0165","II","263","4"
"SN2008S","20:34:45.35,20:34:45.350","+60:05:57.8,+60:05:57.80","0.00016","IIn-pec/LBV","260","11"
"SN1979C","12:22:58.58,12:22:58.63,12:22:58.630","+15:47:52.7,+15:47:51.74,+15:47:51.68,+15:47:51.7","0.00455,0.00373,0.00405,0.00448,0.00455","II","260","4"
"SN1999ca","10:05:22.95,10:05:22.8,10:05:22.92,10:05:22.920","-34:12:41.0,-34:12:41.4,-34:12:41.3,-34:12:41.29","0.00931,0.01037","II P","259","5"
"ASASSN-15nx","04:43:53.19,04:43:53.184","-09:42:11.2,-09:42:11.232","0.026","II Pec","254","1"
"SN2007pk","01:31:47.07,01:31:47.069","+33:36:54.1,+33:36:54.11","0.016655","IIn","253","18"
"SN1994Y","13:55:36.90,13:55:36.86,13:55:36.910,13:55:36.91","+40:27:53.4,+40:27:53.17,+40:27:53.60,+40:27:53.6,+40:27:53.2","0.0085,0.0085","II","249","8"
"SN2000cb","16:01:32.15,16:01:32.16,16:01:32.150","+01:42:23.0,+01:42:23.004,+01:42:23.00","0.00643","II P Pec","241","15"
"SN2011fu","02:08:21.41,02:08:21.410,02:08:21.40","+41:29:12.3,+41:29:12.30","0.018489","IIb","239","44"
"SN2011hs","22:57:11.77,22:57:11.770","-43:23:04.8,-43:23:04.81","0.0057","IIb","228","23"
"SN2008aq","12:50:30.36,12:50:30.42,12:50:30.420","-10:52:01.3,-10:52:01.4,-10:52:01.42","0.008,0.008","IIb","226","10"
"SN2008bo","18:19:54.41,18:19:54.34,18:19:54.341","+74:34:21.0,+74:34:20.9,+74:34:20.89","0.0049","IIb","226","18"
"SN2011ht","10:08:10.56,10:08:10.58,10:08:10.589,10:08:10.59","+51:50:57.12,+51:50:57.1,+51:50:57.01,+51:50:57.0","0.0036","IIn","225","17"
"SN2009bw","03:56:06.92,03:56:06.919","+72:55:40.9,+72:55:40.91","0.00285,0.00323,0.00382,0.00387","II","222",""
"LSQ13dpa","11:01:12.91","-05:50:52.5,-05:50:52.6","0.023","II","219",""
"SN2015bh","09:09:34.96,09:09:35.0,09:09:35.059","+33:07:20.4,+33:07:20,+33:07:22.12","0.0064","LBV to IIn","219","1"
"SN2003hl","01:59:21.28,01:59:21.288,01:59:21.281","+19:00:14.5,+19:00:14.4,+19:00:14.51","0.00825,0.00734","II P","217","11"
"SN2005ay","11:52:48.07,11:52:48,11:52:48.070","+44:06:18.4,+44:06:18.36,+44:06:18.40","0.002699","II","217","9"
"SN2008ip","12:57:50.20,12:57:50.201","+36:22:33.5,+36:22:33.49","0.0151","II","216","11"
"SN2007aa","12:00:27.69,12:00:27.6,12:00:27.691,12:00:27.67","-01:04:51.6,-01:04:51.60,-01:04:51.5","0.004887","II P","211","16"
"SN2006au","17:57:13.56,17:57:13.560","+12:11:03.2,+12:11:03.19","0.00958","II","205","9"
"SN2009kr","05:12:03.30,05:12:03.300","-15:41:52.2,-15:41:52.19","0.0065,0.0065,0.0063","II","204","2"
"SN2008es","11:56:49.13,11:56:49.130","+54:27:25.7,+54:27:25.70","0.202,0.206,0.205","II P","203","14"
"MLS150612:112519+081418","11:25:19.23,11:25:19.22,11:25:19.24,11:25:19.2","+08:14:18.5,+08:14:18.6,+08:14:18.3,+08:14:18.348","0.101","SLSN","203","1"
"CSS121015:004244+132827","00:42:44.380,00:42:44.00,00:42:44","+13:28:26.20,+13:28:27.0,+13:28:27","0.2868","SLSN-II","202","27"
"SN2009E","12:09:49.56,12:09:49.560","+58:50:50.3,+58:50:50.32","0.006328","II P","201","12"
"SN2016ieq","21:22:25.190,21:22:25.187,21:22:25.1928,21:22:25.2,21:22:25.18","-11:56:54.82,-11:56:54.3948,-11:56:54.96,-11:56:54.6","0.066,0.066","IIn","200","1"
"ASASSN-14kg","01:44:38.380,01:44:38.38,01:44:38.376","+35:48:20.45,+35:48:20.5,+35:48:20.52","0.014477","II","199",""
"SN2016ezh","01:58:05.0,01:58:04.739,01:58:04.740,01:58:04.74","-00:52:22,-00:52:21.74,-00:52:21.7","0.08,0.08","TDE","199","1"
"SN2008fq","20:25:06.19,20:25:06.190","-24:48:27.6,-24:48:27.61","0.0106","II","198","8"
"SN2006fg","00:38:20.04,00:38:20.0,00:38:20.047,00:38:20.0472,00:38:20.0328,00:38:20.040","-00:17:41.9,-00:17:42,-00:17:41.964,-00:17:41.9748,-00:17:42.3204,-00:17:41.89","0.04458,0.044643","II","192","1"
"SN2006aa","11:53:19.89,11:53:19.891","+20:45:18.2,+20:45:18.22","0.0207","IIn","191","13"
"SN2013am","11:18:56.95,11:18:56.939,11:18:56.950,11:18:56.93","+13:03:49.4,+13:03:50.03,+13:03:49.39,+13:03:49.3","0.002692","II","191","29"
"SN2004ex","00:38:10.19,00:38:10.190","+02:43:17.2,+02:43:17.18","0.018","IIb","190","2"
"SN2010bq","16:46:55.41,16:46:55.44,16:46:55.409,16:46:55.36","+34:09:35.4,+34:09:34.56,+34:09:35.39,+34:09:35.8","0.031,0.032,0.031","IIn","190","5"
"SN2016esw","18:58:04.090,18:58:04.086,18:58:04.08","+43:56:22.60,+43:56:22.49,+43:56:22.5","0.02831,0.02831","II","184","9"
"SN2006bo","20:30:41.90,20:30:41.899","+09:11:40.8,+09:11:40.81","0.0153","IIn","183","4"
"SN2001X","15:21:55.45,15:21:55.450,15:21:55.46","+05:03:42.1,+05:03:42.08,+05:03:43.1","0.004937","II P","182","12"
"SN2010al","08:14:15.91,08:14:15.910","+18:26:18.2,+18:26:18.20","0.017155","Ibn","180","29"
"SN2005em","03:13:47.74,03:13:47.712,03:13:47.736,03:13:47.71,03:13:47.710","-00:14:37.0,-00:14:36.96,-00:14:37.0284,-00:14:37.3344,-00:14:37.00","0.02517,0.0252","Ic Pec","177","1"
"SN2009K","04:36:36.77,04:36:36.770","-00:08:35.6,-00:08:35.59","0.0117","II","177",""
"PTF12cxj","13:12:38.683,13:12:38.64","+46:29:06.32,+46:29:06.36","0.036","IIn?","177",""
"PTF10uls","01:21:22.659","+04:53:28.75","0.044,0.044","II","173","1"
"iPTF13dkz","01:36:11.58,01:36:11.577,01:36:11.57","+33:37:01.4,+33:37:01.43","0.016,0.016","II","171","1"
"SN2010jr","05:19:34.47,05:19:34.471","-32:39:14.6,-32:39:14.62","0.0124","II","170",""
"SN2016aqw","10:55:53.800,10:55:53.83,10:55:53.76,10:55:53.81","+36:51:47.60,+36:51:48.0,+36:51:47.52,+36:51:47.7","0.021688","II","170","1"
"SN2008bj","11:51:47.80,11:51:47.801","+46:52:29.8,+46:52:29.78","0.019,0.019","II","167","35"
"PTF11izt","01:52:25.944","+35:30:21.80","0.02","II","165",""
"SN2012br","12:24:17.02,12:24:17.054,12:24:17.021","+18:55:29.3,+18:55:27.96,+18:55:29.32","0.0227","II P","163","1"
"SN2012ca","18:41:07.25,18:41:07.250,18:41:07.06","-41:47:38.4,-41:47:38.40,-41:47:37.4","0.019","Ia CSM","163","46"
"SN2006iw","23:21:19.48,23:21:19.5,23:21:19.44,23:21:19.481","+00:15:35.1,+00:15:35,+00:15:34.9,+00:15:35.03,+00:15:35.024,+00:15:34.686,+00:15:35.10","0.03073,0.030517","II","160","6"
"SN2007lj","21:28:41.93,21:28:41.9,21:28:42,21:28:41.930","-00:04:02.1,-00:04:02,-00:04:02.1828,-00:04:02.6544,-00:04:02.10","0.04,0.04,0.04","II","160",""
"Gaia15aek","06:47:02.70,06:47:02.69,06:47:02.64","+64:56:03.7,+64:56:03.48","0.012","II","160",""
"LSQ14gv","10:54:11.70","-15:01:29.7,-15:01:30.2","0.026362","II","158","1"
"SN2006bp","11:53:55.74,11:53:55.740","+52:21:09.4,+52:21:09.40","0.003509","II","157","15"
"SN2018anh","16:15:00.800,16:15:00.72,16:15:00.80","+31:04:19.20,+31:04:19.01,+31:04:19.2,+31:04:19.1","0.0226,0.0226","II","155","1"
"SN2004A","16:43:01.90,16:43:01.901","+36:50:12.5,+36:50:12.52","0.00443,0.00457,0.00459,0.00464,0.00486,0.00284","II","154","5"
"SN1996al","23:33:16.1,23:33:16.099,23:33:16.10","-54:05:02,-54:05:02.00,-50:05:02.0,-54:05:02.0","0.006571","II","150","37"
"SN2006jl","20:32:04.67,20:32:04.7,20:32:04.56,20:32:04.670","-00:34:28.3,-00:34:28,-00:34:28.344,-00:34:28.3296,-00:34:28.5132,-00:34:28.31","0.0555","II","150","1"
"PS1-13wr","14:15:57.954","+52:03:10.57","0.0767","II P","150",""
"SN2003iq","01:59:19.96,01:59:19.968,01:59:19.92,01:59:19.961","+18:59:42.1,+18:59:42,+18:59:41.8,+18:59:42.11","0.00825,0.00734","II P","149","9"
"SDSS-II SN 716","23:23:43.92","+00:37:41.725,+00:37:41.3","0.324","II","149",""
"SN2007lb","03:49:09.53,03:49:09.5,03:49:09.528,03:49:09.504,03:49:09.530,03:49:09.51","-00:44:09.2,-00:44:09,-00:44:09.2328,-00:44:09.438,-00:44:09.20,-00:44:09.3","0.033","II","149",""
"SN2007rt","11:02:34.29,11:02:34.291","+50:34:58.5,+50:34:58.51","0.0224","IIn","149","10"
"SN1992af","20:30:40.25,20:30:40.32,00:00:00.000,20:30:42.00,20:30:39.73","-42:18:35.2,-42:18:35.28,-42:19:00.0,-42:18:36.0","0.01847,0.01788","II P","147","5"
"SN1995N","14:49:28.29,14:49:28.27,14:49:28.270","-10:10:14.0,-10:10:15.4,-10:10:15.38","0.00617","II","147","4"
"SN2007kw","02:10:16.84,02:10:16.8,02:10:16.824,02:10:16.841","-00:15:57.1,-00:15:57,-00:15:57.15,-00:15:57.492,-00:15:57.10","0.06805,0.067453","II","146","1"
"OGLE-2014-SN-173","06:28:40.64,06:28:40.73","-69:40:48.1,-69:40:48.5","0.0296","IIn","146","1"
"SN1990E","02:39:29.1,02:39:29.112,00:00:00.000,02:39:28.5,02:39:29.12","-08:08:14,-08:08:13.56,-08:08:04.0,-08:08:14.6","0.00429,0.00414","II","143","37"
