"Name","R.A.","Dec.","z","Type","Phot.","Spec."
"SDSS-II SN 13076","22:53:34.08","+00:11:17.05,+00:11:17.09,+00:11:16.897","0.311,0.273","II","43",""
"SDSS-II SN 13390","22:29:12.96","+00:34:13.206,+00:34:13.019","","II","43",""
"SDSS-II SN 13600","00:51:40.44,00:51:40.416","-00:31:43.374,-00:31:43.7592","","II","43",""
"SDSS-II SN 17396","21:41:41.04","-00:28:37.5708,-00:28:37.614,-00:28:37.9128","0.302","II","43",""
"SDSS-II SN 17810","00:26:35.5512,00:26:35.5296","-01:02:02.472,-01:02:02.616","","II","43",""
"SDSS-II SN 17818","00:29:33.2472,00:29:33.2304","-00:35:06.7668,-00:35:06.9828","","II","43",""
"SDSS-II SN 17848","01:10:55.44","+00:49:37.492,+00:49:37.052","","II","43",""
"SDSS-II SN 18012","23:13:02.64,23:13:02.4","+00:05:47.05,+00:05:46.85","","II","43",""
"SDSS-II SN 18166","02:53:59.016,02:53:58.992","-00:43:47.0784,-00:43:47.4024","","II","43",""
"SDSS-II SN 18392","02:24:44.304","+00:15:58.18,+00:15:57.964","","II","43",""
"SDSS-II SN 19539","03:41:41.592,03:41:41.568","-00:01:10.092,-00:01:10.3908","","II","43",""
"SDSS-II SN 19733","21:14:20.64","-00:55:36.6276,-00:55:36.894","","II","43",""
"SDSS-II SN 5401","20:20:15.84","+00:09:37.782,+00:09:37.609","","II","43",""
"SDSS-II SN 5723","01:21:01.824,01:21:01.8","-00:10:28.7688,-00:10:29.0748","","II","43",""
"SN2009mk","00:06:21.37,00:06:21.370","-41:28:59.8,-41:28:59.81","0.005,0.005","IIb","43",""
"OGLE-2013-SN-038","23:39:24.77,23:39:24.83","-67:02:54.8,-67:02:55.1","0.045","II","43","2"
"OGLE-2013-SN-138","01:19:02.87","-68:13:14.7","0.115","IIn","43","1"
"PS1-13abg","","","","II P","43",""
"PTF10pjg","23:23:08.01,23:23:08.010","+13:02:39.2,+13:02:39.18","0.042636","II","43",""
"SN2010jp","06:16:30.63,06:16:30.629","-21:24:36.3,-21:24:36.29","0.0092","IIn","43","10"
"SN2013cf","11:34:36.49,11:34:36.446,11:34:36.490","+54:53:24.4,+54:53:23.69,+54:53:24.40","0.019326","II P","43","1"
"SN2015as","10:08:11.37,10:08:11.369,10:08:11.53","+51:50:40.9,+51:50:40.88,+51:50:40.8","0.0036","II","43","1"
"SN1985L","13:13:21.71,13:13:21.75,13:13:21.790,13:13:21.79","+36:36:32.3,+36:36:32.68,+36:36:33.01,+36:36:33.0,+36:36:32.7","0.00962","II","43",""
"SN2000bs","17:06:54.67,17:06:54.670","+43:06:41.7,+43:06:41.69","0.027976","II","42","2"
"SNLS-04D1ln","02:25:53.482","-04:27:03.75","0.2077,0.2072","II P","42",""
"SDSS-II SN 13196","02:14:55.08,02:14:55.056","+00:28:36.34,+00:28:36.01","","II","42",""
"SDSS-II SN 13488","02:31:52.8","+00:11:37.568,+00:11:37.331","","II","42",""
"SDSS-II SN 13681","23:22:11.04","+00:49:57.259,+00:49:56.921","","II","42",""
"SDSS-II SN 14262","21:54:45.36","+00:18:45.338,+00:18:45.004","","II","42",""
"SDSS-II SN 18664","22:21:46.8","+00:06:47.045,+00:06:46.829","","II","42",""
"SDSS-II SN 18914","03:41:53.712,03:41:53.688","-00:19:08.9004,-00:19:09.2424","","II","42",""
"SDSS-II SN 18986","02:35:34.824,02:35:34.8","-00:57:19.9044,-00:57:20.0916","","II","42",""
"SDSS-II SN 19118","00:01:03.1334,00:01:03.1277","-01:04:30.252,-01:04:30.648","","II","42",""
"SDSS-II SN 19515","00:03:06.9396,00:03:06.93","-00:11:38.5764,-00:11:38.8032","","II","42",""
"SDSS-II SN 4888","20:26:33.84","+01:07:04.224,+01:07:03.828","","II","42",""
"SDSS-II SN 7670","02:56:00.336,02:56:00.312","-01:15:25.488,-01:15:25.74","","II","42",""
"SN2005fq","00:53:44.05,00:53:44.04,00:53:44.016,00:53:44.050","-00:33:36.8,-00:33:36.756,-00:33:36.7812,-00:33:37.062,-00:33:36.79,-00:33:36.76","0.147126","II","42",""
"SN2005Z","10:45:09.18,10:45:09.180,10:45:09.07","+22:04:38.3,+22:04:38.32","0.019","II","42","9"
"SN2006ho","00:33:28.061,00:33:28.046,00:33:28.0464,00:33:28.0224,00:33:28.05,00:33:28.051","-00:19:12.60,-00:19:12.864,-00:19:12.7992,-00:19:13.1592,-00:19:12.9,-00:19:12.90","0.106749,0.11","AGN","42",""
"OGLE-2014-SN-071","00:48:26.65","-74:10:39.1","0.032","II","42","1"
"PTF10achk","03:05:57.540,03:05:57.552","-10:31:20.97,-10:31:21","0.0327","IIn","42",""
"SN2018awp","00:16:14.090,00:16:14.086","-31:37:02.86,-31:37:03","0.071","IIn","42","1"
"SN2018coq","22:55:06.280,22:55:06.251,22:55:06.24,22:55:06.27,22:55:06","+11:15:27.40,+11:15:27.63,+11:15:27.36,+11:15:27.4,+11:15:27.72,+11:15:28.44","0.025,0.025","II","42","1"
"SN2018cur","12:59:09.120,12:59:09.130,12:59:09.12,12:59:09.11","+37:19:00.19,+37:19:00.10,+37:19:00.12,+37:19:00.1","0.015432,0.015561","II","42","1"
"SN1965N","09:59:41.71,09:59:41.72,09:59:41.710","+35:23:43.6,+35:23:43.9,+35:23:43.69,+35:23:43.7","0.017","II","42",""
"SN2002ew","20:54:30.50,20:54:30.48,20:54:30.499","-00:08:26.0,-00:08:26.16,-00:08:26.0016,-00:08:26.02","0.02992,0.02893","II P","41","8"
"SDSS-II SN 12942","23:52:46.8","-00:36:24.2136,-00:36:24.6924","","II","41",""
"SDSS-II SN 13145","23:39:11.76","+00:11:30.203,+00:11:29.911","","II","41",""
"SDSS-II SN 13607","20:50:39.36","+00:49:13.829,+00:49:13.602","","II","41",""
"SDSS-II SN 14469","02:02:50.328","-00:14:26.2356,-00:14:26.5632","","II","41",""
"SDSS-II SN 17226","02:41:39.576","-00:00:48.726,-00:00:49.0932","0.115962","II","41",""
"SDSS-II SN 17330","02:31:11.088,02:31:11.064","-00:03:15.6672,-00:03:15.8616","","II","41",""
"SDSS-II SN 17756","01:08:10.416,01:08:10.44","-00:16:36.93,-00:16:37.1856","","II","41",""
"SDSS-II SN 17814","00:52:42.36,00:52:42.864,00:52:42.84","-00:33:19.0,-00:33:10.296,-00:33:10.476","0.106813","II","41",""
"SDSS-II SN 18140","02:31:01.224","-00:39:16.0776,-00:39:16.5168","","II","41",""
"SDSS-II SN 18723","00:21:44.69,00:21:44.6712","-00:07:06.312,-00:07:06.6612","","II","41",""
"SDSS-II SN 19229","21:50:25.68","+00:45:54.367,+00:45:54.04","","II","41",""
"SDSS-II SN 20496","00:28:28.332,00:28:28.272","-01:02:35.052,-01:02:35.124","","II","41",""
"SDSS-II SN 3290","02:30:57.984,02:30:57.96","+00:23:37.655,+00:23:37.295","","II","41",""
"SDSS-II SN 4062","02:55:30.624,02:55:30.6","+01:13:13.548,+01:13:13.368","0.152414","II","41",""
"SDSS-II SN 4330","01:44:35.808,01:44:35.784","-00:10:57.3708,-00:10:57.5868","","II","41",""
"SDSS-II SN 6289","22:00:16.56","-00:37:49.0152,-00:37:49.2456","0.110404","II","41",""
"SN2005bw","13:33:29.73,13:33:29.731","+33:02:27.8,+33:02:27.82","0.025","II","41",""
"SN2006ny","00:39:17.26,00:39:17.31,00:39:17.3,00:39:17.306,00:39:17.3064,00:39:17.2992,00:39:17.2968,00:39:17.309","+00:05:02.9,+00:05:02.1,+00:05:02,+00:05:02.15,+00:05:02.155,+00:05:01.81,+00:05:01.831,+00:05:02.11","0.07866,0.07852","II","41","2"
"ASASSN-13co","21:40:38.740,21:40:38.74,21:40:38.4","+06:30:36.87,+06:30:36.9,+06:30:36.36","0.023063","II","41","1"
"Gaia14adg","11:50:32.78,11:50:32.88","-02:06:17.1,-02:06:17.064,-02:06:17","0.154","II","41","1"
"OGLE-2013-SN-048","01:37:10.25","-68:23:48.6","0.06","II","41","1"
"OGLE-2013-SN-137","02:03:34.72","-73:36:22.7","0.075","IIn","41","1"
"SN2014cn","12:09:11.54,12:09:11.543,12:09:11.539","+29:10:20.9,+29:10:20.90,+29:10:20.89","0.012762","II","41",""
"PS15ip","10:43:33.93,10:43:33.94","-30:48:20.6,-30:48:19.8","","IIn","41",""
"SN2017gvb","08:04:42.380,08:04:42.370,08:04:42.48","+61:31:38.53,+61:31:38.66,+61:31:38.64","0.030344,0.030344","IIn","41",""
"SN2017ivu","15:36:32.710,15:36:32.700,15:36:32.64,15:36:32.71","+16:36:20.09,+16:36:19.40,+16:36:20.16,+16:36:20.1","0.006528","II P","41","1"
"SDSS-II SN 13705","20:34:25.44","-00:24:00.3636,-00:24:00.7776","","II","40",""
"SDSS-II SN 14576","02:41:17.448,02:41:17.424","-01:08:59.784,-01:09:00.0","","II","40",""
"SDSS-II SN 14658","23:50:29.04","-00:51:34.8156,-00:51:35.1036","","II","40",""
"SDSS-II SN 14744","03:12:04.68,03:12:04.656","+00:16:13.084,+00:16:12.79","","II","40",""
"SDSS-II SN 17296","03:01:25.872,03:01:25.848","+00:44:53.387,+00:44:53.077","","II","40",""
"SDSS-II SN 18079","02:01:41.208,02:01:41.16","-01:07:18.3,-01:07:18.66","","II","40",""
"SDSS-II SN 18087","03:17:40.152,03:17:40.128","-01:05:26.808,-01:05:27.096","","II","40",""
"SDSS-II SN 18165","02:52:57.336,02:52:57.288","-00:40:43.8168,-00:40:44.1912","","II","40",""
"SDSS-II SN 18268","03:26:08.616,03:26:08.568","-00:52:17.0544,-00:52:17.3208","","II","40",""
"SDSS-II SN 18478","22:38:05.52","-00:49:12.0576,-00:49:12.1908","","II","40",""
"SDSS-II SN 18691","00:44:59.112,00:44:59.088","-01:01:38.964,-01:01:39.432","","II","40",""
"SDSS-II SN 19325","00:27:33.6624,00:27:33.6336","+01:09:25.884,+01:09:25.596","","II","40",""
"SDSS-II SN 2325","23:17:41.04","+01:09:22.788,+01:09:22.536","","II","40",""
"SDSS-II SN 4638","01:57:09.384,01:57:09.336","-00:46:29.8812,-00:46:30.162","","II","40",""
"SDSS-II SN 5786","20:32:54.72","+00:53:28.802,+00:53:28.626","","II","40",""
"SN2007nx","00:03:48.362,00:03:48.36,00:03:48.335,00:03:48.360","+00:21:31.327,+00:21:31.4,+00:21:31.165,+00:21:31.39","0.099536","II","40",""
"OGLE-2014-SN-076","01:58:50.17","-74:35:36.2","0.068","IIn","40","1"
"OGLE-2014-SN-096","01:35:23.0,01:35:25.42","-73:38:49,-73:38:53.3","0.04","II","40","1"
"PTF12bbm","11:01:51.229","+45:28:49.60","0.0446","II","40",""
"SN2011ef","23:30:57.02,23:30:57.019","+15:29:24.3,+15:29:24.29,+15:29:24.2","0.0134","IIb","40",""
"SN2017fbu","02:11:06.941,02:11:06.936,02:11:06.94","+03:50:36.57,+03:50:36.63,+03:50:36.5,+03:50:36.636","0.010861,0.010861","II","40",""
"SN2017gga","22:02:41.490,22:02:41.5056,22:02:41.52,22:02:41.48","+02:11:25.73,+02:11:25.91,+02:11:26.0794,+02:11:25.728,+02:11:25.9,+02:11:25.908","0.066,0.066","II","40","2"
"SN2018jpf","10:58:04.607,10:58:04.603,10:58:04.60","+06:03:09.31,+06:03:08.94,+06:03:09.3","0.026255","II","40","1"
"SN1993K","06:24:37.8,06:24:37.776,00:00:00.000,06:24:37.80,06:24:38.06","-22:49:50,-22:49:50.88,-22:49:51.0,-22:49:46.7","0.00908,0.00949","II?","39","23"
"SN2000db","11:53:39.75,11:53:39.84,11:53:39.751","+47:51:46.6,+47:51:46.44,+47:51:46.40","0.00285,0.0027","II","39",""
"SN2002bj","05:11:46.41,05:11:46.411","-15:08:10.8,-15:08:10.79","0.012","II","39","2"
"SDSS-II SN 14413","22:52:13.2","+01:08:36.852,+01:08:36.564","","II","39",""
"SDSS-II SN 14472","20:47:37.44","+00:00:23.5,+00:00:23.2","0.3643","II","39",""
"SDSS-II SN 17871","02:21:14.856","-00:51:41.9436,-00:51:42.3","","II","39",""
"SDSS-II SN 17996","00:37:31.392,00:37:31.356","+00:27:03.672,+00:27:03.2616","","II","39",""
"SDSS-II SN 17997","00:46:37.896,00:46:37.872","+00:25:52.057,+00:25:51.56","","II","39",""
"SDSS-II SN 18075","01:40:58.968,01:40:58.944","-01:15:20.844,-01:15:21.06","","II","39",""
"SDSS-II SN 18122","03:22:44.136,03:22:44.112","+00:35:32.19,+00:35:31.866","","II","39",""
"SDSS-II SN 18255","00:35:56.1504,00:35:56.117","-00:55:27.2352,-00:55:27.5232","","II","39",""
"SDSS-II SN 18309","02:06:19.032,02:06:19.008","+00:45:11.43,+00:45:11.12","","II","39",""
"SDSS-II SN 18331","00:53:17.904,00:53:17.856","+01:05:38.148,+01:05:37.932","","II","39",""
"SDSS-II SN 18733","01:22:42.6","-00:02:48.4116,-00:02:48.7392","","II","39",""
"SDSS-II SN 18848","02:48:08.232,02:48:08.184","+00:20:41.233,+00:20:40.988","","II","39",""
"SDSS-II SN 19640","00:43:44.664","+00:32:06.3024,+00:32:05.9568","0.10967","II","39",""
"SDSS-II SN 19686","02:13:24.648,02:13:24.624","-00:36:11.448,-00:36:11.7108","","II","39",""
"SDSS-II SN 19781","00:23:01.8192,00:23:01.7808","-00:37:43.1868,-00:37:43.3344","","II","39",""
"SDSS-II SN 20605","21:50:19.68","-00:52:30.666,-00:52:30.9432","","II","39",""
"SDSS-II SN 2468","20:43:47.76","+01:02:02.184,+01:02:02.04","","II","39",""
"SDSS-II SN 4145","01:18:44.304,01:18:44.28","-01:10:13.944,-01:10:14.196","","II","39",""
"SDSS-II SN 7039","22:38:38.4","+00:06:11.927,+00:06:11.81","","II","39",""
"SDSS-II SN 7501","01:30:55.176,01:30:55.152","-00:23:03.3504,-00:23:03.5484","","II","39",""
"SDSS-II SN 8378","22:06:36.72","+01:07:21.432,+01:07:21.108","","II","39",""
"SDSS-II SN 9567","02:59:00.888","-00:00:08.1864,-00:00:08.4492","","II","39",""
"SN2007ll","01:58:40.13,01:58:40.128,01:58:40.130","-00:14:56.6,-00:14:56.6088,-00:14:56.8608,-00:14:56.62","0.080673","II","39","1"
"CSS140326:122257+282955","12:22:57.30,12:22:57.328,12:22:57.35","+28:29:54.9,+28:29:54.75,+28:29:54.6","0.0254","II","39",""
"iPTF13bsg","13:50:07.229","+33:45:07.46","0.061","II","39",""
"OGLE-2013-SN-016","05:13:52.76","-60:09:26.9","0.074","IIn","39","18"
"OGLE-2013-SN-045","23:40:36.52","-64:17:22.6","0.1","II","39","1"
"SN2018amc","10:58:00.770,10:58:00.780,10:58:00.72,10:58:00.77","+72:26:26.59,+72:26:26.56,+72:26:26.52,+72:26:26.7","0.01","II","39","1"
"SN2019cbc","18:06:09.172,18:06:09.12,18:06:09.16","+65:20:46.91,+65:20:47.04,+65:20:46.9","0.02,0.02","IIn","39","1"
"SN1984E","10:14:11.0,00:00:00.000,10:14:11.01","+03:28:12,+03:28:13,+03:28:13.0","0.0041,0.0041","II","39","2"
"SN2001fa","01:48:22.22,01:48:22.219","+11:31:34.4,+11:31:34.39","0.017","IIn","38","11"
"SDSS-II SN 1199","02:06:20.784,02:06:20.76","+00:52:21.068,+00:52:20.816","","II","38",""
"SDSS-II SN 13123","01:16:59.232,01:16:59.208","-00:43:16.2012,-00:43:16.5612","","II","38",""
"SDSS-II SN 13472","00:17:53.5992,00:17:53.58","-01:04:59.664,-01:04:59.952","","II","38",""
"SDSS-II SN 14426","03:32:45.816,03:32:45.792","+00:22:46.042,+00:22:45.8","","II","38",""
"SDSS-II SN 14483","01:07:05.376,01:07:05.352","+00:05:53.04,+00:05:52.68","","II","38",""
"SDSS-II SN 1513","03:27:47.64,03:27:47.592","-00:19:16.3236,-00:19:16.644","","II","38",""
"SDSS-II SN 15593","21:22:03.36","-01:10:37.596,-01:10:37.776","","II","38",""
"SDSS-II SN 15680","22:44:56.4","-00:54:05.544,-00:54:06.0264","","II","38",""
"SDSS-II SN 15692","01:37:25.344,01:37:25.32","+00:41:59.32,+00:41:59.035","0.168803","II","38",""
"SDSS-II SN 16838","03:27:47.83,03:27:46.464","-00:24:50.3,-00:25:12.4104,-00:25:12.5724","0.15","II","38",""
"SDSS-II SN 17597","22:09:36.72","-00:14:48.1092,-00:14:48.3216","","II","38",""
"SDSS-II SN 17721","00:02:12.863,00:02:12.856","+01:02:48.264,+01:02:48.12","","II","38",""
"SDSS-II SN 17837","03:15:12.072,03:15:12.048","-00:34:34.266,-00:34:34.6116","","II","38",""
"SDSS-II SN 18252","22:58:54.48","-00:58:14.178,-00:58:14.5416","","II","38",""
"SDSS-II SN 18705","00:47:25.56,00:47:25.512","-00:27:30.258,-00:27:30.6072","","II","38",""
"SDSS-II SN 19050","22:57:21.12","+00:25:38.82,+00:25:38.564","","II","38",""
"SDSS-II SN 19221","23:10:44.62,23:10:44.4","-00:56:41.6,-00:56:32.3592,-00:56:32.5932","0.043","II","38",""
"SDSS-II SN 19692","01:36:28.944","-00:06:01.3824,-00:06:01.7388","","II","38",""
"SDSS-II SN 20247","22:53:08.4","+00:37:31.91,+00:37:31.58","","II","38",""
"SDSS-II SN 20271","01:07:22.944","-00:12:53.316,-00:12:53.5536","","II","38",""
"SDSS-II SN 20360","23:46:22.56","-00:50:39.9732,-00:50:40.2036","","II","38",""
"SDSS-II SN 20861","23:41:45.12","-00:37:59.5704,-00:37:59.718","","II","38",""
"SDSS-II SN 2148","01:09:17.496","-00:36:58.9932,-00:36:59.112","","II","38",""
"SDSS-II SN 5285","02:42:55.44","-00:56:56.5512,-00:56:56.7852","","II","38",""
"SDSS-II SN 5789","21:47:18.96","-01:11:28.896,-01:11:29.004","","II","38",""
"OGLE-2013-SN-047","23:40:35.48","-64:24:22.7","0.06","II","38","1"
"OGLE-2014-SN-018","06:18:20.35","-66:01:08.0","0.027","II","38","1"
"PS15cwt","02:33:16.24,02:33:16.25","+19:15:25.2,+19:15:24.6","0.0135","IIn","38",""
"SN2018fif","00:09:26.550,00:09:26.554,00:09:26.55,00:09:26.5512","+47:21:14.65,+47:21:14.73,+47:21:14.76,+47:21:14.7","0.017189,0.017189","II","38",""
"SN2018gkf","07:53:11.880,07:53:11.76,07:53:11.88","+23:39:06.23,+23:39:06.19,+23:39:06.12,+23:39:06.1","0.0819,0.0819","IIn","38",""
"SN1972Q","12:18:50,00:00:00.000,12:18:50.8,12:18:50.64","+14:26.7,+14:26:40.0,+14:26:36.3","0.008","II","38",""
"SN1973R","11:20:11.5,11:20:11.52,00:00:00.000,11:20:11.65","+12:59:55,+12:59:55.32,+12:59:47.0,+12:59:55.0","0.00193,0.0024,0.0017,0.0034","II","38",""
"SN2003bj","13:18:29.10,13:18:29.04,13:18:29.100,13:18:29.108","-31:37:37.7,-31:37:37.56,-31:37:37.70,-31:37:37.79","0.01219,0.01316","II P","37",""
"PTF09fma","03:10:23.33,03:10:23.327","-09:59:58.0,-09:59:58.04","0.031","II","37",""
"SDSS-II SN 13440","22:36:47.28","-00:46:09.696,-00:46:09.912","0.2978","II","37",""
"SDSS-II SN 13496","01:41:07.632,01:41:07.608","-01:04:23.448,-01:04:23.736","","II","37",""
"SDSS-II SN 13846","21:22:46.08","+00:07:32.02,+00:07:32.074","","II","37",""
"SDSS-II SN 14100","02:40:50.064","-01:09:23.184,-01:09:23.472","","II","37",""
"SDSS-II SN 14172","02:30:20.088,02:30:20.064","+00:52:36.966,+00:52:36.847","","II","37",""
"SDSS-II SN 14329","00:27:04.6872,00:27:04.668","-00:02:30.9804,-00:02:31.3044","0.162408","II","37",""
"SDSS-II SN 14639","00:09:52.728,00:09:52.716","-00:03:49.896,-00:03:50.202","","II","37",""
"SDSS-II SN 15331","00:56:52.32","-00:14:22.1856,-00:14:22.452","","II","37",""
"SDSS-II SN 1656","23:45:23.04","+00:39:48.521,+00:39:48.121","","II","37",""
"SDSS-II SN 17498","02:27:08.16","-01:03:05.22,-01:03:05.328","0.617818","II","37",""
"SDSS-II SN 17585","21:46:52.32","-00:42:34.0956,-00:42:34.3044","","II","37",""
"SDSS-II SN 18032","01:00:19.224,01:00:19.2","-00:24:04.41,-00:24:04.5576","","II","37",""
"SDSS-II SN 18107","02:31:18.744,02:31:18.72","+00:26:23.201,+00:26:23.024","","II","37",""
"SDSS-II SN 18662","21:53:48.48","+00:09:06.786,+00:09:06.5016","","II","37",""
"SDSS-II SN 18729","01:10:08.688,01:10:08.64","-00:27:20.5452,-00:27:20.646","","II","37",""
"SDSS-II SN 18743","00:36:21.079,00:36:21.0816","+00:22:12.295,+00:22:11.932","","II","37",""
"SDSS-II SN 19034","21:42:31.68","+00:03:16.29,+00:03:16.14","","II","37",""
"SDSS-II SN 19524","01:15:54.336,01:15:54.312","-00:03:59.3424,-00:03:59.508","","II","37",""
"SDSS-II SN 19645","22:32:31.92","+00:51:39.269,+00:51:39.1","","II","37",""
"SDSS-II SN 19724","20:13:59.52","-00:10:17.6952,-00:10:17.904","","II","37",""
"SDSS-II SN 20216","22:05:19.44","-00:46:31.9512,-00:46:32.0412","","II","37",""
"SDSS-II SN 2042","21:20:43.68","-01:12:10.764,-01:12:11.124","","II","37",""
"SDSS-II SN 20646","21:44:23.76","+00:49:52.871,+00:49:52.518","","II","37",""
"SDSS-II SN 2401","00:03:46.491,00:03:46.5","-00:09:57.2652,-00:09:57.492","","II","37",""
"SDSS-II SN 3294","01:30:01.584","+01:05:07.944,+01:05:07.62","0.122757","II","37",""
"SDSS-II SN 6502","21:12:56.88","+00:06:00.324,+00:06:00.2232","0.114669","II","37",""
"SDSS-II SN 7003","02:14:54.984","-00:51:12.0852,-00:51:12.3156","","II","37",""
"SDSS-II SN 7233","20:19:23.28","-00:17:23.7984,-00:17:24.4212","","II","37",""
"SDSS-II SN 7417","01:02:27.696,01:02:27.672","+00:33:41.922,+00:33:41.63","0.355927","II","37",""
"OGLE-2013-SN-046","01:07:29.73","-67:26:03.6","0.07","II","37","1"
"OGLE-2014-SN-020","06:24:30.22","-73:58:10.6","0.076","II","37","1"
"PTF11cwi","16:52:28.52,16:52:28.515","+21:42:01.0,+21:42:00.99","0.056,0.056","II","37",""
"SN2016fee","23:33:45.900,23:33:45.858,23:33:45.84,23:33:45.91","+25:33:50.50,+25:33:50.51,+25:33:50.4,+25:33:50.7","0.032,0.032","II","37","1"
"SN1987F","12:41:37.46,12:41:38.99,00:00:00.000,12:41:39.0","+26:04:28.3,+26:04:22.4,+26:04:22.0","0.016","II","37",""
"SDSS-II SN 13537","01:42:01.8,01:42:01.776","+00:36:58.079,+00:36:57.755","","II","36",""
"SDSS-II SN 13589","21:48:02.4","-00:07:07.5216,-00:07:07.842","","II","36",""
"SDSS-II SN 14499","01:16:25.704,01:16:25.68","-01:12:36.36,-01:12:36.576","","II","36",""
"SDSS-II SN 17461","03:43:05.544,03:43:05.52","-00:15:07.4988,-00:15:07.9056","","II","36",""
"SDSS-II SN 17574","21:20:48.96","-01:06:42.192,-01:06:42.516","","II","36",""
"SDSS-II SN 17873","01:13:36.84,01:13:36.792","+01:11:09.528,+01:11:09.24","","II","36",""
"SDSS-II SN 17916","21:25:18.96","+00:20:50.55,+00:20:50.204","","II","36",""
"SDSS-II SN 18042","00:47:40.392,00:47:40.368","-00:47:03.0732,-00:47:03.5304","","II","36",""
"SDSS-II SN 18103","02:10:46.56,02:10:46.536","+00:36:40.864,+00:36:40.612","","II","36",""
"SDSS-II SN 18341","02:14:40.68,02:14:40.656","+01:14:17.376,+01:14:16.98","","II","36",""
"SDSS-II SN 18367","02:14:27.504,02:14:27.48","-00:02:25.98,-00:02:26.2788","","II","36",""
"SDSS-II SN 1866","03:11:22.896","+00:25:04.1268,+00:25:03.9468","","II","36",""
"SDSS-II SN 18661","21:47:28.32,21:47:28.08","+00:05:53.86,+00:05:53.73","","II","36",""
"SDSS-II SN 18670","23:52:46.32,23:52:46.08","-00:00:02.4264,-00:00:02.7144","","II","36",""
"SDSS-II SN 18689","00:21:14.6424,00:21:14.6208","-01:02:03.336,-01:02:03.696","","II","36",""
"SDSS-II SN 19683","03:00:23.544,03:00:23.52","-00:51:24.7536,-00:51:24.9372","","II","36",""
"SDSS-II SN 19751","00:33:54.9384,00:33:54.9264","+00:40:30.608,+00:40:30.25","0.592948","II","36",""
"SDSS-II SN 20455","01:42:53.328,01:42:53.304","+00:38:05.4132,+00:38:05.0064","","II","36",""
"SDSS-II SN 20603","20:38:16.32","-00:58:26.0724,-00:58:26.1912","","II","36",""
"SDSS-II SN 5810","20:22:28.56","-00:39:21.5784,-00:39:21.6252","","II","36",""
"SDSS-II SN 8721","03:30:32.616,03:30:32.592","+00:25:03.9864,+00:25:03.5184","","II","36",""
"SDSS-II SN 930","00:57:02.712,00:57:02.664","-00:37:38.3088,-00:37:38.4708","0.290116","II","36",""
"SN2005bx","13:50:24.95,13:50:24.950","+68:33:19.4,+68:33:19.40","0.031218","IIn","36","3"
"SN2005lm","00:15:04.91,00:15:04.9,00:15:04.92,00:15:04.9104,00:15:04.8816,00:15:04.910","+00:21:18.6,+00:21:19,+00:21:18.4,+00:21:18.5,+00:21:18.515,+00:21:18.227,+00:21:18.50","0.08466,0.084713","II","36",""
"SN2007cu","16:06:00.65,16:06:00.650","+55:25:27.5,+55:25:27.52","0.0314","II","36",""
"SN2012A","10:25:07.39,10:25:07.390","+17:09:14.6,+17:09:14.62","0.00199,0.00203,0.00228,0.00231,0.00242,0.00246,0.00255","II P","36","1"
"PS15cgc","23:12:55.84","+00:21:55.2","0.049","II-p","36",""
"SN2018hru","23:37:12.056,23:37:12.110,23:37:12.100,23:37:12.050,23:37:12,23:37:12.10","+16:02:03.60,+40:43:18.44,+40:43:18.39,+16:02:03.42,+40:43:18.48,+40:43:18.4","0.0649,0.0649","Ia","36","1"
"SDSS-II SN 13062","22:33:54.24","-01:07:59.664,-01:07:59.772","0.416357","II","35",""
"SDSS-II SN 13386","21:44:56.4","+00:27:06.1236,+00:27:05.8356","","II","35",""
"SDSS-II SN 13404","22:10:03.84","-00:15:02.0412,-00:15:02.178","","II","35",""
"SDSS-II SN 13871","23:38:03.84","+00:10:03.666,+00:10:03.4248","","II","35",""
"SDSS-II SN 14139","03:54:42.504,03:54:42.48","-00:17:12.2244,-00:17:12.714","","II","35",""
"SDSS-II SN 14211","22:00:49.92","+01:07:18.732,+01:07:18.372","","II","35",""
"SDSS-II SN 14353","02:20:31.392,02:20:31.368","-00:55:52.6548,-00:55:52.9644","","II","35",""
"SDSS-II SN 17608","21:05:34.8","+00:03:10.39,+00:03:10.2","","II","35",""
"SDSS-II SN 18111","02:45:24.744,02:45:24.72","+00:33:26.917,+00:33:26.597","","II","35",""
"SDSS-II SN 18320","03:53:03.888","+00:48:44.683,+00:48:44.266","","II","35",""
"SDSS-II SN 18997","01:53:59.448,01:53:59.424","-00:26:26.0916,-00:26:26.4732","","II","35",""
"SDSS-II SN 19063","01:22:19.224,01:22:19.2","+00:31:08.5548,+00:31:08.2308","","II","35",""
"SDSS-II SN 4397","00:57:57.24","+00:03:46.29,+00:03:46","","II","35",""
"SDSS-II SN 4706","01:47:21.624,01:47:21.6","-00:23:37.9032,-00:23:38.148","0.591266","II","35",""
"SDSS-II SN 7306","01:42:08.952,01:42:08.928","-00:43:18.102,-00:43:18.3648","0.11192","II","35",""
"SDSS-II SN 9443","01:27:32.328","-00:01:57.6408,-00:01:58.1232","","II","35",""
"SN2005bp","17:09:43.22,17:09:43.219","+36:25:08.1,+36:25:08.11","0.028","II","35",""
"SN2007oe","00:24:10.3416,00:24:10.34,00:24:10.3296,00:24:10.339","+00:46:30.245,+00:46:30.2,+00:46:29.867,+00:46:30.22","0.251","II","35",""
"OGLE-2013-SN-144","05:00:57.18","-67:44:25.7","0.04","II","35","1"
