ID,KronRad_3,separation_3,x_3,y_3,KronMag_3,Angle_3,Ellipticity_3,RA_3,Host RA_3,DEC_3,Host Dec_3,Discrepency_3,Z_3,Hecto Z_3,KronRad_4,separation_4,x_4,y_4,KronMag_4,Angle_4,Ellipticity_4,RA_4,Host RA_4,DEC_4,Host Dec_4,Discrepency_4,Z_4,Hecto Z_4,KronRad_5,separation_5,x_5,y_5,KronMag_5,Angle_5,Ellipticity_5,RA_5,Host RA_5,DEC_5,Host Dec_5,Discrepency_5,Z_5,Hecto Z_5,KronRad_6,separation_6,x_6,y_6,KronMag_6,Angle_6,Ellipticity_6,RA_6,Host RA_6,DEC_6,Host Dec_6,Discrepency_6,Z_6,Hecto Z_6
470041,1.976695707,0.510060208,1.854443432,-0.851342149,23.25028566,-0.012046534,0.292960637,131.3373388,0,44.75473651,0,,0.331,0,1.714995933,0.569675697,2.05866143,-0.977677263,21.95771537,-0.134573027,0.28469628,131.3373187,0,44.75472787,0,,0.331,0,1.626509449,0.564214612,2.075118227,-0.888090793,20.57875378,-0.119756699,0.258487278,131.3373171,0,44.7547341,0,,0.331,0,1.662906838,0.543278043,1.97671269,-0.903515522,20.34544255,-0.126754388,0.249073349,131.3373268,0,44.75473297,0,,0.331,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470043,1.534117566,30.63116541,89.60057947,-83.61900122,21.77321796,1.265267849,0.178254454,128.9857973,0,44.76160384,0,,0.07,0,1.473317846,30.62869918,89.57860403,-83.62807764,20.94144537,1.417649388,0.17072247,128.9857995,0,44.76160324,0,,0.07,0,1.437039936,30.64091063,89.54612793,-83.73437671,19.78961481,1.326121211,0.188925143,128.9858028,0,44.76159591,0,,0.07,0,1.510423468,30.64352119,89.571916,-83.72209419,19.5697426,1.344280243,0.183652569,128.9858003,0,44.76159673,0,,0.07,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470047,1.840224834,0.869429221,3.280936994,-1.156010479,23.55430936,1.158451676,0.373957348,129.7129765,0,45.46020894,0,,0.188,0,1.65242085,0.852423942,3.142960747,-1.324341172,22.55845121,1.191035509,0.357338949,129.7129903,0,45.46019736,0,,0.188,0,1.621519356,0.85394911,3.203033364,-1.189277469,21.2723015,1.173809648,0.348729564,129.7129843,0,45.46020669,0,,0.188,0,1.6082462,0.860285066,3.197336023,-1.274630184,20.98942893,1.137195349,0.34951324,129.7129849,0,45.46020077,0,,0.188,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470110,1.521357182,1.478945448,5.875006159,0.709631402,22.66019266,-0.393776119,0.138502517,52.07010253,0,-28.623275,0,,0.346,0,1.551581665,1.3729538,5.437414888,0.783511813,22.00815426,-0.426524967,0.19247019,52.07013718,0,-28.62327014,0,,0.346,0,1.489418174,1.385463023,5.482257434,0.822550449,20.91700861,-0.469305038,0.191062124,52.07013366,0,-28.6232674,0,,0.346,0,1.559414566,1.408329856,5.585685415,0.744918249,20.70601816,-0.475154489,0.187643678,52.07012543,0,-28.62327273,0,,0.346,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470232,1.698199779,2.695764977,-1.164872741,-10.72369664,23.42863706,-1.358873248,0.432587522,129.5459991,0,45.20153443,0,,0.2,0,1.584295287,2.812010552,-0.810353773,-11.22262572,22.78431119,-1.362841964,0.43960174,129.5459648,0,45.20149947,0,,0.2,0,1.544807746,2.845034799,-0.860272658,-11.35144239,21.63024433,-1.384022951,0.467699053,129.5459699,0,45.20149058,0,,0.2,0,1.628403772,2.817700017,-0.970299312,-11.23281053,21.54060768,-1.390877843,0.42924002,129.5459805,0,45.20149891,0,,0.2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
