,ID,hostRa,hostDec,offby,hectoZ,redshift_dif,KronRad (kpc)_3,separation (kpc)_3,area (kpc^2)_3,sep/sqrt(area) (kpc)_3,x_3,y_3,KronMag_3,Abs. Mag_3,Angle_3,Ellipticity_3,RA_3,DEC_3,Discrepency (arcsecs)_3,pixelRank_3,redshift_3,chanceCoincidence_3,host_found_3,KronRad (kpc)_4,separation (kpc)_4,area (kpc^2)_4,sep/sqrt(area) (kpc)_4,x_4,y_4,KronMag_4,Abs. Mag_4,Angle_4,Ellipticity_4,RA_4,DEC_4,Discrepency (arcsecs)_4,pixelRank_4,redshift_4,chanceCoincidence_4,host_found_4,KronRad (kpc)_5,separation (kpc)_5,area (kpc^2)_5,sep/sqrt(area) (kpc)_5,x_5,y_5,KronMag_5,Abs. Mag_5,Angle_5,Ellipticity_5,RA_5,DEC_5,Discrepency (arcsecs)_5,pixelRank_5,redshift_5,chanceCoincidence_5,host_found_5,KronRad (kpc)_6,separation (kpc)_6,area (kpc^2)_6,sep/sqrt(area) (kpc)_6,x_6,y_6,KronMag_6,Abs. Mag_6,Angle_6,Ellipticity_6,RA_6,DEC_6,Discrepency (arcsecs)_6,pixelRank_6,redshift_6,chanceCoincidence_6,host_found_6
108,120085,0.0,0.0,,0,-1.0,3.18240959944293,0.15357430686511514,171.2712994859609,0.01173481554392557,0.08972515077681464,-0.09131190913551279,20.857420799026094,-20.02465333362624,0.1583920270204544,0.030589113630049347,150.47093959690062,2.042640883204675,2.042640883204675,0.9747899159663865,0.32,0.01444989968981858,1,3.757313295723791,0.3897622747666463,284.97241427075846,0.023088642030419562,0.21556811028621325,-0.24308523689764172,19.353471107799727,-21.528603024852607,-1.2204948663711548,0.06765739047652708,150.47093084954528,2.0426303463856437,2.0426303463856437,0.98989898989899,0.32,0.018483237571369715,1,3.8366463479279176,0.41126824159066444,381.40247364520707,0.021058790378242223,0.13479929655505885,-0.31521147937833405,18.707636011028082,-22.174438121624252,-1.2703802585601807,0.08870544653906887,150.47093646007573,2.04262533618252,2.04262533618252,0.9924528301886792,0.32,0.013570586107151894,1,3.796965774860224,0.4286791346594935,316.63601585639833,0.024090853644149403,0.1408995991120321,-0.3283872361367912,18.54586654268757,-22.336207589964765,-1.105730414390564,0.14432407306937511,150.4709360359156,2.042624421361305,2.042624421361305,0.990909090909091,0.32,0.011215156197632248,1
109,120086,0.0,0.0,,0,-1.0,3.2372496518066733,36.59284529077603,247.1072723904536,2.3278415519554274,-24.62481645941834,9.638034266302384,21.173074794701883,-20.21105058437287,-0.022963091731071472,0.12576845092792077,150.79073211631916,2.1440544730850735,2.1440544730850735,0.0,0.4,0.08658450591701072,1,2.5478689565620356,35.20332526823281,605.3170393440569,1.4308438421195322,-23.48096657169316,9.788635662419779,19.799633521166772,-21.58449185790798,-0.027659239247441292,0.3027846156222165,150.7906526473562,2.1440649715159386,2.1440649715159386,0.0,0.4,0.029566598358715335,1,2.376317599158557,35.34521279124405,750.8996184268048,1.2898513388548427,-23.545351751791927,9.9003373814827,19.35036879664205,-22.0337565824327,-0.11380937695503235,0.31128845895627666,150.79065712493983,2.1440727255259326,2.1440727255259326,0.0,0.4,0.020688983043344544,1,2.526266981149722,35.546961018015686,549.7657920624821,1.516050336871024,-23.7050942265264,9.896363621770234,18.814268386573907,-22.569856992500846,0.06861701607704163,0.25777118192294846,150.79066822367534,2.144072443870461,2.144072443870461,0.0,0.4,0.013686477132317965,1
110,120094,0.0,0.0,,0,1.4029674391911284,2.9663862201375006,9.860199262673094,27.644278701230434,1.8753531411184765,0.0,0.0,26.0,-15.648674083508821,-0.00304579734802235,0.20288931863783177,150.52616249999997,2.0877944444444445,,0.8260379278184439,0.2454,1.0,0,2.9663862201375006,9.860199262673094,27.644278701230434,1.8753531411184765,0.0,0.0,26.0,-15.648674083508821,-0.00304579734802235,0.20288931863783177,150.52616249999997,2.0877944444444445,,0.8260379278184439,0.2454,1.0,0,2.9663862201375006,9.860199262673094,27.644278701230434,1.8753531411184765,0.0,0.0,26.0,-15.648674083508821,-0.00304579734802235,0.20288931863783177,150.52616249999997,2.0877944444444445,,0.8260379278184439,0.2454,1.0,0,2.9663862201375006,9.860199262673094,27.644278701230434,1.8753531411184765,0.0,0.0,26.0,-15.648674083508821,-0.00304579734802235,0.20288931863783177,150.52616249999997,2.0877944444444445,,0.8260379278184439,0.2454,1.0,0
111,120113,0.0,0.0,,0,1.1460088247091855,0.4085859757963261,1.3581303438966073,0.5244653303700537,1.8753531411184763,0.0,0.0,26.0,-10.261442916043135,-0.00304579734802235,0.20288931863783177,160.29785833333332,58.236558333333335,,0.8260379278184439,0.2454,1.0,0,0.4085859757963261,1.3581303438966073,0.5244653303700537,1.8753531411184763,0.0,0.0,26.0,-10.261442916043135,-0.00304579734802235,0.20288931863783177,160.29785833333332,58.236558333333335,,0.8260379278184439,0.2454,1.0,0,0.4085859757963261,1.3581303438966073,0.5244653303700537,1.8753531411184763,0.0,0.0,26.0,-10.261442916043135,-0.00304579734802235,0.20288931863783177,160.29785833333332,58.236558333333335,,0.8260379278184439,0.2454,1.0,0,0.4085859757963261,1.3581303438966073,0.5244653303700537,1.8753531411184763,0.0,0.0,26.0,-10.261442916043135,-0.00304579734802235,0.20288931863783177,160.29785833333332,58.236558333333335,,0.8260379278184439,0.2454,1.0,0
112,120143,0.0,0.0,,0,-1.0,1.3435971571293597,3.2900973871440615,66.15220395956156,0.40451682915716003,2.049873873118756,3.8024793078656387,21.575245413883174,-17.938789549389906,-0.5717152953147888,0.14410526357455955,163.68217750536226,58.62683154431424,58.62683154431424,0.34210526315789475,0.174,0.012300808815150166,1,1.3625570661059052,3.3254608661075236,64.99163897781487,0.41249918688190323,2.0708202555312454,3.8439357056589927,21.061744232758656,-18.452290730514424,-0.6294810175895691,0.1880173659874146,163.6821748576893,58.626834459854614,58.626834459854614,0.30357142857142855,0.174,0.007660325344774455,1,1.2712826266900097,3.2498886194064514,72.53531135916838,0.3815871463834684,2.1693230024791887,3.6744425465476525,20.86323082018266,-18.65080414309042,-0.6700592637062073,0.14281097030357237,163.68216113586578,58.62682287601034,58.62682287601034,0.544,0.174,0.006065593384605328,1,1.364259443762824,2.9695352369865606,65.57192146868822,0.3667157206364622,2.083797050619225,3.2953633039558667,20.61577024848459,-18.89826471478849,-0.8428274989128113,0.06953791655446395,163.68217121493663,58.626796409750014,58.626796409750014,0.6283185840707964,0.174,0.005046203083940881,1
113,120175,0.0,0.0,,0,-1.0,0.6706560791809906,8.927930253690713,403.88721393536395,0.4442431464705603,-17.710662270484903,-3.072898561011158,17.71781036106124,-20.671024307461465,-0.6632843017578125,0.17924109515839448,150.81893976934717,3.398157900679802,3.398157900679802,0.7359413202933985,0.105,0.007764407477747759,1,0.6667631576892852,8.982669428295514,497.2058978397451,0.4028443544159463,-17.86069928724541,-2.84291893393058,16.239437897482436,-22.14939677104027,-0.7154668569564819,0.19625214845378802,150.81895021130066,3.3981738540494706,3.3981738540494706,0.6494538232373386,0.105,0.0024912596701677225,1,0.6584633695768103,8.95657973423294,506.09339154492426,0.3981317962161049,-17.811436557717258,-2.8182245123334297,16.887600891914296,-21.50123377660841,-0.7671591639518738,0.1914859118683021,150.8189467866427,3.398175570912323,3.398175570912323,0.6497560975609756,0.105,0.003952012948005512,1,0.6743584261766946,8.956885837551784,474.2465391013656,0.41129644307802904,-17.761309944909826,-3.1217061055224242,16.47216329691225,-21.916671371610455,-0.7227627038955688,0.19569784188967088,150.81894328939043,3.398154510116158,3.398154510116158,0.5481520041644976,0.105,0.002832944032079676,1
114,120225,0.0,0.0,,0,-1.0,0.875655098710288,17.389245422985628,274.49954777829277,1.0495664028724017,11.247111873464462,32.97773269725934,17.683026931187232,-20.71824018869403,0.08477865904569626,0.09025122660101403,150.81703578673725,3.477236649215179,3.477236649215179,0.0,0.10559,0.01089205906160251,1,0.7513185710664653,17.281663750904038,604.347778214879,0.7029785699376819,11.369316208281873,32.707599891576734,16.65251757908498,-21.748749540796283,-0.4124665856361389,0.07232018190275047,150.8170272782272,3.477217908555791,3.477217908555791,0.0,0.10559,0.0050270073139278,1,0.7156373804052509,17.200700070455465,731.9987940754474,0.6357566920545797,11.175520416256745,32.60292976499261,16.278902244908814,-22.122364874972448,-0.616600513458252,0.06480625560083675,150.81704075101845,3.477210632511624,3.477210632511624,0.0,0.10559,0.0037162326458038963,1,0.7434154123599911,17.266476103977574,694.1023987418412,0.6553781215950752,11.301103915798024,32.69905730296347,15.833575077053199,-22.567692042828064,-0.4158095121383667,0.055087304342469445,150.81703202146107,3.4772173115801284,3.4772173115801284,0.0,0.10559,0.002695548243561441,1
115,120243,0.0,0.0,,0,-1.0,4.4025075822779325,6.5419247316471285,72.18758337062106,0.7699708637234322,-3.2279641899236964,-4.1783446107896225,21.233878939916792,-19.758006679097438,-0.20292861759662628,0.3090869908275733,36.43386216417428,-3.196501040168873,-3.196501040168873,0.0,0.336,0.05391105138498631,1,4.001248456484278,6.387690493053558,150.5187908578907,0.5206531549308165,-2.8795131188577727,-4.276479551069613,20.005360308998053,-20.986525310016177,-0.030598636716604233,0.3037008541364342,36.43383793980574,-3.1965078656253065,-3.1965078656253065,0.1326530612244898,0.336,0.0206217168049303,1,3.5703875420748727,6.131176178283604,230.3859043743225,0.40393905353418674,-2.859552667531858,-4.038653712678553,19.49360010860991,-21.49828551040432,-0.03184078261256218,0.26521402291110785,36.43383653991604,-3.1964913570637443,-3.1964913570637443,0.34,0.336,0.010852856137886224,1,3.4911812668957447,6.074238988479075,210.41912599521456,0.41874464755531127,-2.826992217217139,-4.0053955149821405,19.142804064771862,-21.849081554242368,0.04984613135457039,0.3301725092084138,36.433834274176334,-3.196489049586663,-3.196489049586663,0.34306569343065696,0.336,0.007089578643979966,1
116,120333,0.0,0.0,,0,-1.0,1.7420628615016958,3.197025609646431,134.89388041175394,0.27526436424101264,2.407651121320484,-2.2124375934924956,21.2441848314458,-18.99083621542271,-0.40888240933418274,0.5675224919747499,162.38121432208115,56.71815869429903,56.71815869429903,0.950354609929078,0.24,0.014337355078996139,1,1.7357164408846106,3.111213820542554,153.0710699707846,0.2514683315811147,2.3951880197445377,-2.0948410181769503,20.634820466709357,-19.600200580159154,-0.38262054324150085,0.5687373412040174,162.3812160010655,56.7181668499668,56.7181668499668,0.9125,0.24,0.007656134589783203,1,1.551393821333663,3.002705761294336,182.72858977762414,0.22213118118892575,2.310444104233895,-2.023161822613659,20.350289808672276,-19.884731238196235,-0.40955308079719543,0.5821541668901635,162.38122678414473,56.71817178485295,56.71817178485295,0.9842931937172775,0.24,0.005307989625155218,1,1.6440435512131946,3.059857817665575,138.72065716102355,0.2597949338571025,2.3926314802482693,-2.017175425658209,20.161587355145933,-20.073433691722578,-0.4264105260372162,0.5963888491697077,162.38121639205772,56.71817223897196,56.71817223897196,0.9793103448275862,0.24,0.0042666484449636055,1
117,120336,0.0,0.0,,0,-1.0,2.3071752689616574,3.1761627404603763,37.9603990923816,0.5155103176832495,0.8201276297345288,-4.39010751263865,20.176359519967136,-19.15017473491023,1.4544789791107178,0.2935943144294958,149.08228490360787,1.4091618728049156,1.4091618728049156,0.28,0.16,0.027126439558026294,1,2.3505041060770377,3.0784522497864866,61.748915856940734,0.3917578910739074,0.9845076754386071,-4.215261812929782,19.850259086844115,-19.47627516803325,1.3774136304855347,0.21842075149764573,149.0822734814225,1.4091740065021572,1.4091740065021572,0.7786885245901639,0.16,0.04671538421486543,1,14.234642913239794,3.1761627404603763,37.9603990923816,0.5155103176832495,0.8201276297345288,-4.39010751263865,14.234642913239794,-25.253036314704865,1.4544789791107178,0.2935943144294958,149.08228490360787,1.4091618728049156,1.4091618728049156,0.28,0.16,0.00030096712932936587,0,13.909878108644351,3.1761627404603763,37.9603990923816,0.5155103176832495,0.8201276297345288,-4.39010751263865,13.909878108644351,-25.57780111930031,1.4544789791107178,0.2935943144294958,149.08228490360787,1.4091618728049156,1.4091618728049156,0.28,0.16,0.00023515865834133898,0
